segment;slug;nombre_visible;rubro;subtipo;obra_product_kind;filtro_unidad;unidades_min;unidades_max;m2_min;m2_max;complejidad;plantas;ambientes_min;ambientes_max;plantas_edificio;deptos_por_piso;pb_comercial;subsuelo_cocheras;amenities;urgencia;reforma_ambiente;tags;tareas;duracion_guia;notas_revision
trabajo_comun;colocar_puerta_interior;Colocar puerta interior;carpinteria;puerta_interior;trabajo_simple;unidades;1;20;;;baja;;;;;;;;;;;puerta | carpinteria | interior;Relevamiento | Presupuesto | Compra y acopio de materiales | Preparación del vano | Colocación de marco | Colocación de hoja | Cerradura y ajustes | Evidencia | Validación | Pago;1-2 días por tarea operativa;OK revisar nombre
trabajo_comun;colocar_puerta_exterior;Colocar puerta exterior;carpinteria;puerta_exterior;trabajo_simple;unidades;1;10;;;media;;;;;;;;;;;puerta | exterior | carpinteria;Relevamiento | Presupuesto | Compra y acopio de materiales | Preparación del vano | Colocación de premarco | Colocación de hoja | Sellado y ajustes | Evidencia | Validación | Pago;1-3 días por tarea operativa;
trabajo_comun;colocar_porton;Colocar portón;herreria;porton;trabajo_simple;unidades;1;5;;;media;;;;;;;;;;;porton | herreria;Relevamiento | Presupuesto | Compra o fabricación | Preparación del vano | Colocación | Ajustes y automatización | Evidencia | Validación | Pago;2-5 días en ejecución;
trabajo_comun;colocar_ventana;Colocar ventana;carpinteria;ventana;trabajo_simple;unidades;1;30;;;baja;;;;;;;;;;;ventana | aberturas;Relevamiento | Presupuesto | Compra y acopio | Preparación del vano | Colocación de marco | Colocación de hoja | Sellado y ajustes | Evidencia | Validación | Pago;1-2 días por unidad simple;
trabajo_comun;pintura_interior;Pintura interior;pintura;interior;trabajo_simple;m2;;;15;500;baja;;;;;;;;;;;pintura | interior | latex;Relevamiento | Presupuesto | Compra de materiales | Protección de muebles y pisos | Enduido y lijado | Primera mano | Segunda mano | Retoques | Evidencia | Validación | Pago;m2 define escala;1-3 días por ambiente chico
trabajo_comun;pintura_exterior;Pintura exterior;pintura;exterior;trabajo_simple;m2;;;20;800;media;;;;;;;;;;;pintura | fachada | exterior;Relevamiento | Presupuesto | Compra de materiales | Montaje de andamio o línea de vida | Preparación de superficie | Imprimación | Pintura | Retoques | Evidencia | Validación | Pago;media-alta por altura;
trabajo_comun;revoque_interior;Revoque interior;revoques;interior;trabajo_simple;m2;;;10;400;baja;;;;;;;;;;;revoque | interior;Relevamiento | Presupuesto | Compra de materiales | Preparación del sector | Revoque grueso | Revoque fino | Lijado y revisión | Evidencia | Validación | Pago;;
trabajo_comun;revoque_exterior;Revoque exterior;revoques;exterior;trabajo_simple;m2;;;15;600;media;;;;;;;;;;;revoque | exterior | fachada;Relevamiento | Presupuesto | Compra de materiales | Protección perimetral | Revoque de base | Revoque fino | Revisión y curado | Evidencia | Validación | Pago;;
trabajo_comun;piso_porcelanato_ceramico;Colocar piso porcelanato o cerámico;pisos;ceramico_porcelanato;trabajo_simple;m2;;;8;200;media;;;;;;;;;;;piso | ceramico | porcelanato;Relevamiento | Presupuesto | Compra y acopio | Preparación de base | Contrapisado o nivelación | Colocación | Cordones y junta | Limpieza | Evidencia | Validación | Pago;;
trabajo_comun;bano_simple;Baño simple;sanitarios;bano;trabajo_simple;unidades;1;3;;;baja | media | alta;;;;;;;;;;;bano | plomeria;Relevamiento | Presupuesto | Compra de materiales | Demolición selectiva | Instalación sanitaria | Revoques y impermeabilización | Colocación de artefactos | Evidencia | Validación | Pago;complejidad filtra variantes futuras;
trabajo_comun;cocina_simple;Cocina simple;cocina;cocina;trabajo_simple;unidades;1;2;;;media;;;;;;;;;;;cocina | plomeria | electricidad;Relevamiento | Presupuesto | Compra de materiales | Preparación del sector | Instalaciones | Revoques | Colocación de muebles y artefactos | Evidencia | Validación | Pago;;
trabajo_comun;instalacion_electrica_basica;Instalación eléctrica básica;electricidad;basica;trabajo_simple;unidades;1;15;;;baja | media;;;;;;;;;;;electricidad | tablero;Relevamiento | Presupuesto | Compra de materiales | Canalización y cajas | Tendido de cables | Colocación de artefactos | Prueba de circuitos | Evidencia | Validación | Pago;puntos o ambientes;
trabajo_comun;instalacion_sanitaria_basica;Instalación sanitaria básica;plomeria;basica;trabajo_simple;unidades;1;10;;;baja | media;;;;;;;;;;;plomeria | sanitaria;Relevamiento | Presupuesto | Compra de materiales | Preparación de pasadas | Instalación de cañerías | Prueba de presión | Colocación de terminaciones | Evidencia | Validación | Pago;;
trabajo_comun;instalacion_gas_basica;Instalación de gas básica;gas;basica;trabajo_simple;unidades;1;8;;;media | alta;;;;;;;;;;;gas | matriculado;Relevamiento | Presupuesto | Compra de materiales | Trazado de instalación | Montaje | Prueba de estanqueidad | Habilitación y entrega de certificado | Evidencia | Validación | Pago;alta = más tareas/habilitación;
